id,fullName,name,country,politicalGroup,nationalPoliticalGroup,acta,actavote,gdpr,gdprvote,article13,a13vote,biometrics30,biometrics31,biovote,terrorism,terrorvote
130833,Stelios KOULOGLOU,Kouloglou,Greece,Confederal Group of the European United Left - Nordic Green Left,Coalition of the Radical Left,4,none,4,none,4,none,2,2,good,0,neutral
96730,Sven GIEGOLD,Giegold,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,1,bad
96907,Takis HADJIGEORGIOU,Hadjigeorgiou,Cyprus,Confederal Group of the European United Left - Nordic Green Left,Progressive Party of Working People - Left - New Forces,2,good,1,good,2,good,2,2,good,4,none
127330,Tania GONZÁLEZ PEÑAS,González Peñas,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,0,neutral
103381,Terry REINTKE,Reintke,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,4,none,4,none,2,good,2,2,good,1,bad
190464,Thomas WAITZ,Waitz,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,4,none,4,none,2,good,2,2,good,1,bad
193292,Tilly METZ,Metz,Luxembourg,Group of the Greens/European Free Alliance,Déi Gréng - Les Verts,4,none,4,none,2,good,2,2,good,1,bad
99650,Tim AKER,Aker,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
96958,William (The Earl of) DARTMOUTH,(The Earl of) Dartmouth,United Kingdom,Europe of Freedom and Direct Democracy Group,Independent,2,good,2,bad,2,good,2,2,good,4,none
28244,Wolf KLINZ,Klinz,Germany,Group of the Alliance of Liberals and Democrats for Europe,Freie Demokratische Partei,0,neutral,1,good,4,none,0,0,neutral,2,good
135490,Xabier BENITO ZILUAGA,Benito Ziluaga,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,4,none
96740,Yannick JADOT,Jadot,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,0,neutral,2,2,good,1,bad
30482,Younous OMARJEE,Omarjee,France,Confederal Group of the European United Left - Nordic Green Left,L'union pour les Outremer,2,good,1,good,2,good,2,2,good,0,neutral
